DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,ACARAÚ,Caatinga,-999,0.0,0.35,-3.02669,-40.11543,7.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,ACARAÚ,Caatinga,-999,0.0,0.34,-3.02531,-40.10606,7.6
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.46,0.58,-3.00139,-40.95295,11.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.27,0.6,-3.00108,-40.8247,11.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.51,0.56,-2.99375,-40.9632,13.7
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.53,0.56,-2.99245,-40.95425,41.2
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,-999,0.19,0.72,-2.96855,-40.2159,14.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BELA CRUZ,Caatinga,-999,0.15,0.3,-2.96718,-40.20657,7.3
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.92,0.49,-2.94254,-40.92497,80.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,CAMOCIM,Caatinga,-999,0.91,0.49,-2.94123,-40.91602,9.0
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BARROQUINHA,Caatinga,-999,1.13,0.11,-2.93338,-41.17803,9.9
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BARROQUINHA,Caatinga,-999,1.68,0.4,-2.91568,-41.24412,8.5
2023/12/23 16:47:00,AQUA_M-T,Brasil,CEARÁ,BARROQUINHA,Caatinga,-999,1.67,0.42,-2.91439,-41.23524,6.7
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MAURITI,Caatinga,0,0.0,0.44,-7.33927,-38.79713,12.7
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,ABAIARA,Caatinga,0,0.0,0.1,-7.30401,-39.05621,13.9
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MAURITI,Caatinga,0,0.0,0.15,-7.30145,-38.71951,8.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.0,0.14,-7.29842,-39.1446,31.9
